trp_gekokujo_nanbu_skirmisher_pl|陆 奥 散 兵 
trp_gekokujo_nanbu_trained_spearman|熟 练 陆 奥 步 兵 
trp_gekokujo_nanbu_trained_spearman_pl|熟 练 陆 奥 步 兵 
trp_gekokujo_nanbu_trained_skirmisher|熟 练 陆 奥 散 兵 
trp_gekokujo_nanbu_trained_skirmisher_pl|熟 练 陆 奥 散 兵 
trp_gekokujo_nanbu_veteran_spearman|资 深 陆 奥 步 兵 
trp_gekokujo_nanbu_veteran_spearman_pl|资 深 陆 奥 步 兵 
trp_gekokujo_nanbu_veteran_skirmisher|资 深 陆 奥 散 兵 
trp_gekokujo_nanbu_veteran_skirmisher_pl|资 深 陆 奥 散 兵 
trp_gekokujo_nanbu_elite_skirmisher|精 锐 陆 奥 散 兵 
trp_gekokujo_nanbu_elite_skirmisher_pl|精 锐 陆 奥 散 兵 
trp_gekokujo_saito_villager|大 垣 新 兵 
trp_gekokujo_saito_villager_pl|大 垣 新 兵 
trp_gekokujo_saito_spearman|大 垣 步 兵 
trp_gekokujo_saito_spearman_pl|大 垣 步 兵 
trp_gekokujo_saito_skirmisher|大 垣 散 兵 
trp_gekokujo_saito_skirmisher_pl|大 垣 散 兵 
trp_gekokujo_saito_trained_spearman|熟 练 大 垣 步 兵 
trp_gekokujo_saito_trained_spearman_pl|熟 练 大 垣 步 兵 
trp_gekokujo_saito_trained_skirmisher|熟 练 大 垣 散 兵 
trp_gekokujo_saito_trained_skirmisher_pl|熟 练 大 垣 散 兵 
trp_gekokujo_saito_veteran_spearman|资 深 大 垣 步 兵 
trp_gekokujo_saito_veteran_spearman_pl|资 深 大 垣 步 兵 
trp_gekokujo_saito_veteran_skirmisher|资 深 大 垣 散 兵 
trp_gekokujo_saito_veteran_skirmisher_pl|资 深 大 垣 散 兵 
trp_gekokujo_saito_elite_spearman|精 锐 大 垣 步 兵 
trp_gekokujo_saito_elite_spearman_pl|精 锐 大 垣 步 兵 
trp_gekokujo_akamatsu_villager|福 冈 新 兵 
trp_gekokujo_akamatsu_villager_pl|福 冈 新 兵 
trp_gekokujo_akamatsu_spearman|福 冈 步 兵 
trp_gekokujo_akamatsu_spearman_pl|福 冈 步 兵 
trp_gekokujo_akamatsu_skirmisher|福 冈 散 兵 
trp_gekokujo_akamatsu_skirmisher_pl|福 冈 散 兵 
trp_gekokujo_akamatsu_trained_spearman|熟 练 福 冈 步 兵 
trp_gekokujo_akamatsu_trained_spearman_pl|熟 练 福 冈 步 兵 
trp_gekokujo_akamatsu_trained_skirmisher|熟 练 福 冈 散 兵 
trp_gekokujo_akamatsu_trained_skirmisher_pl|熟 练 福 冈 散 兵 
trp_gekokujo_akamatsu_veteran_spearman|资 深 福 冈 步 兵 
trp_gekokujo_akamatsu_veteran_spearman_pl|资 深 福 冈 步 兵 
trp_gekokujo_akamatsu_veteran_skirmisher|资 深 福 冈 散 兵 
trp_gekokujo_akamatsu_veteran_skirmisher_pl|资 深 福 冈 散 兵 
trp_gekokujo_akamatsu_elite_skirmisher|精 锐 福 冈 散 兵 
trp_gekokujo_akamatsu_elite_skirmisher_pl|精 锐 福 冈 散 兵 
trp_gekokujo_sokudo_villager|地 方 新 兵 
trp_gekokujo_sokudo_villager_pl|地 方 新 兵 
trp_gekokujo_sokudo_spearman|地 方 步 兵 
trp_gekokujo_sokudo_spearman_pl|地 方 步 兵 
trp_gekokujo_sokudo_skirmisher|地 方 散 兵 
trp_gekokujo_sokudo_skirmisher_pl|地 方 散 兵 
trp_gekokujo_sokudo_trained_spearman|熟 练 地 方 步 兵 
trp_gekokujo_sokudo_trained_spearman_pl|熟 练 地 方 步 兵 
trp_gekokujo_sokudo_trained_skirmisher|熟 练 地 方 散 兵 
trp_gekokujo_sokudo_trained_skirmisher_pl|熟 练 地 方 散 兵 
trp_gekokujo_sokudo_veteran_spearman|资 深 地 方 步 兵 
trp_gekokujo_sokudo_veteran_spearman_pl|资 深 地 方 步 兵 
trp_gekokujo_sokudo_veteran_skirmisher|资 深 地 方 散 兵 
trp_gekokujo_sokudo_veteran_skirmisher_pl|资 深 地 方 散 兵 
trp_gekokujo_sokudo_elite_skirmisher|精 锐 地 方 散 兵 
trp_gekokujo_sokudo_elite_skirmisher_pl|精 锐 地 方 散 兵 
trp_gekokujo_uesugi_jizamurai|越 后 见 习 侍 从 
trp_gekokujo_uesugi_jizamurai_pl|越 后 见 习 侍 从 
trp_gekokujo_uesugi_retainer|越 后 侍 从 
trp_gekokujo_uesugi_retainer_pl|越 后 侍 从 
trp_gekokujo_uesugi_marksman|越 后 侍 从 射 手 
trp_gekokujo_uesugi_marksman_pl|越 后 侍 从 射 手 
trp_gekokujo_uesugi_veteran_retainer|资 深 越 后 侍 从 
trp_gekokujo_uesugi_veteran_retainer_pl|资 深 越 后 侍 从 
trp_gekokujo_uesugi_mounted_retainer|越 后 骑 马 侍 从 
trp_gekokujo_uesugi_mounted_retainer_pl|越 后 骑 马 侍 从 
trp_gekokujo_uesugi_samurai_gunner|越 后 铁 炮 武 士 
trp_gekokujo_uesugi_samurai_gunner_pl|越 后 铁 炮 武 士 
trp_gekokujo_uesugi_samurai_archer|越 后 弓 武 士 
trp_gekokujo_uesugi_samurai_archer_pl|越 后 弓 武 士 
trp_gekokujo_uesugi_officer|越 后 军 官 
trp_gekokujo_uesugi_officer_pl|越 后 军 官 
trp_gekokujo_uesugi_mounted_officer|越 后 骑 马 军 官 
trp_gekokujo_uesugi_mounted_officer_pl|越 后 骑 马 军 官 
trp_gekokujo_uesugi_master_gunner|越 后 铁 炮 队 长 
trp_gekokujo_uesugi_master_gunner_pl|越 后 铁 炮 队 长 
trp_gekokujo_uesugi_master_archer|越 后 弓 队 长 
trp_gekokujo_uesugi_master_archer_pl|越 后 弓 队 长 
trp_gekokujo_uesugi_hatamoto_guard|越 后 亲 卫 
trp_gekokujo_uesugi_hatamoto_guard_pl|越 后 亲 卫 
trp_gekokujo_uesugi_hatamoto_cavalry|越 后 马 回 
trp_gekokujo_uesugi_hatamoto_cavalry_pl|越 后 马 回 
trp_gekokujo_uesugi_messenger|越 后 信 使 
trp_gekokujo_uesugi_messenger_pl|越 后 信 使 
trp_gekokujo_uesugi_deserter|越 后 逃 兵 
trp_gekokujo_uesugi_deserter_pl|越 后 逃 兵 
trp_gekokujo_uesugi_prison_guard|越 后 监 狱 守 卫 
trp_gekokujo_uesugi_prison_guard_pl|越 后 监 狱 守 卫 
trp_gekokujo_uesugi_castle_guard|越 后 城 堡 守 卫 
trp_gekokujo_uesugi_castle_guard_pl|越 后 城 堡 守 卫 
trp_gekokujo_date_jizamurai|仙 台 见 习 侍 从 
trp_gekokujo_date_jizamurai_pl|仙 台 见 习 侍 从 
trp_gekokujo_date_retainer|仙 台 侍 从 
trp_gekokujo_date_retainer_pl|仙 台 侍 从 
trp_gekokujo_date_marksman|仙 台 侍 从 射 手 
trp_gekokujo_date_marksman_pl|仙 台 侍 从 射 手 
trp_gekokujo_date_veteran_retainer|资 深 仙 台 侍 从 
trp_gekokujo_date_veteran_retainer_pl|资 深 仙 台 侍 从 
trp_gekokujo_date_mounted_retainer|仙 台 骑 马 侍 从 
trp_gekokujo_date_mounted_retainer_pl|仙 台 骑 马 侍 从 
trp_gekokujo_date_samurai_gunner|仙 台 铁 炮 武 士 
trp_gekokujo_date_samurai_gunner_pl|仙 台 铁 炮 武 士 
trp_gekokujo_date_samurai_archer|仙 台 弓 武 士 
trp_gekokujo_date_samurai_archer_pl|仙 台 弓 武 士 
trp_gekokujo_date_officer|仙 台 军 官 
trp_gekokujo_date_officer_pl|仙 台 军 官 
trp_gekokujo_date_mounted_officer|仙 台 骑 马 军 官 
trp_gekokujo_date_mounted_officer_pl|仙 台 骑 马 军 官 
trp_gekokujo_date_master_gunner|仙 台 铁 炮 队 长 
trp_gekokujo_date_master_gunner_pl|仙 台 铁 炮 队 长 
trp_gekokujo_date_master_archer|仙 台 弓 队 长 
trp_gekokujo_date_master_archer_pl|仙 台 弓 队 长 
trp_gekokujo_date_hatamoto_guard|仙 台 亲 卫 
trp_gekokujo_date_hatamoto_guard_pl|仙 台 亲 卫 
trp_gekokujo_date_hatamoto_cavalry|仙 台 马 回 
trp_gekokujo_date_hatamoto_cavalry_pl|仙 台 马 回 
trp_gekokujo_date_messenger|仙 台 信 使 
trp_gekokujo_date_messenger_pl|仙 台 信 使 
trp_gekokujo_date_deserter|仙 台 逃 兵 
trp_gekokujo_date_deserter_pl|仙 台 逃 兵 
trp_gekokujo_date_prison_guard|仙 台 监 狱 守 卫 
trp_gekokujo_date_prison_guard_pl|仙 台 监 狱 守 卫 
trp_gekokujo_date_castle_guard|仙 台 城 堡 守 卫 
trp_gekokujo_date_castle_guard_pl|仙 台 城 堡 守 卫 
trp_gekokujo_oda_jizamurai|伊 势 见 习 侍 从 
trp_gekokujo_oda_jizamurai_pl|伊 势 见 习 侍 从 
trp_gekokujo_oda_retainer|伊 势 侍 从 
trp_gekokujo_oda_retainer_pl|伊 势 侍 从 
trp_gekokujo_oda_marksman|伊 势 侍 从 射 手 
trp_gekokujo_oda_marksman_pl|伊 势 侍 从 射 手 
trp_gekokujo_oda_veteran_retainer|资 深 伊 势 侍 从 
trp_gekokujo_oda_veteran_retainer_pl|资 深 伊 势 侍 从 
trp_gekokujo_oda_mounted_retainer|伊 势 骑 马 侍 从 
trp_gekokujo_oda_mounted_retainer_pl|伊 势 骑 马 侍 从 
trp_gekokujo_oda_samurai_gunner|伊 势 铁 炮 武 士 
trp_gekokujo_oda_samurai_gunner_pl|伊 势 铁 炮 武 士 
trp_gekokujo_oda_samurai_archer|伊 势 弓 武 士 
trp_gekokujo_oda_samurai_archer_pl|伊 势 弓 武 士 
trp_gekokujo_oda_officer|伊 势 军 官 
trp_gekokujo_oda_officer_pl|伊 势 军 官 
trp_gekokujo_oda_mounted_officer|伊 势 骑 马 军 官 
trp_gekokujo_oda_mounted_officer_pl|伊 势 骑 马 军 官 
trp_gekokujo_oda_master_gunner|伊 势 铁 炮 队 长 
trp_gekokujo_oda_master_gunner_pl|伊 势 铁 炮 队 长 
trp_gekokujo_oda_master_archer|伊 势 弓 队 长 
trp_gekokujo_oda_master_archer_pl|伊 势 弓 队 长 
trp_gekokujo_oda_hatamoto_cavalry|伊 势 马 回 
trp_gekokujo_oda_hatamoto_cavalry_pl|伊 势 马 回 
trp_gekokujo_oda_hatamoto_gunner|伊 势 铁 炮 奉 行 
trp_gekokujo_oda_hatamoto_gunner_pl|伊 势 铁 炮 奉 行 
trp_gekokujo_oda_messenger|伊 势 信 使 
trp_gekokujo_oda_messenger_pl|伊 势 信 使 
trp_gekokujo_oda_deserter|伊 势 逃 兵 
trp_gekokujo_oda_deserter_pl|伊 势 逃 兵 
trp_gekokujo_oda_prison_guard|伊 势 监 狱 守 卫 
trp_gekokujo_oda_prison_guard_pl|伊 势 监 狱 守 卫 
trp_gekokujo_oda_castle_guard|伊 势 城 堡 守 卫 
trp_gekokujo_oda_castle_guard_pl|伊 势 城 堡 守 卫 
trp_gekokujo_mori_jizamurai|长 州 见 习 侍 从 
trp_gekokujo_mori_jizamurai_pl|长 州 见 习 侍 从 
trp_gekokujo_mori_retainer|长 州 侍 从 
trp_gekokujo_mori_retainer_pl|长 州 侍 从 
trp_gekokujo_mori_marksman|长 州 侍 从 射 手 
trp_gekokujo_mori_marksman_pl|长 州 侍 从 射 手 
trp_gekokujo_mori_veteran_retainer|资 深 长 州 侍 从 
trp_gekokujo_mori_veteran_retainer_pl|资 深 长 州 侍 从 
trp_gekokujo_mori_mounted_retainer|长 州 骑 马 侍 从 
trp_gekokujo_mori_mounted_retainer_pl|长 州 骑 马 侍 从 
trp_gekokujo_mori_samurai_gunner|长 州 铁 炮 武 士 
trp_gekokujo_mori_samurai_gunner_pl|长 州 铁 炮 武 士 
trp_gekokujo_mori_samurai_archer|长 州 弓 武 士 
trp_gekokujo_mori_samurai_archer_pl|长 州 弓 武 士 
trp_gekokujo_mori_officer|长 州 军 官 
trp_gekokujo_mori_officer_pl|长 州 军 官 
trp_gekokujo_mori_mounted_officer|长 州 骑 马 军 官 
trp_gekokujo_mori_mounted_officer_pl|长 州 骑 马 军 官 
trp_gekokujo_mori_master_gunner|长 州 铁 炮 队 长 
trp_gekokujo_mori_master_gunner_pl|长 州 铁 炮 队 长 
trp_gekokujo_mori_master_archer|长 州 弓 队 长 
trp_gekokujo_mori_master_archer_pl|长 州 弓 队 长 
trp_gekokujo_mori_hatamoto_guard|长 州 亲 卫 
trp_gekokujo_mori_hatamoto_guard_pl|长 州 亲 卫 
trp_gekokujo_mori_hatamoto_cavalry|长 州 马 回 
trp_gekokujo_mori_hatamoto_cavalry_pl|长 州 马 回 
trp_gekokujo_mori_messenger|长 州 信 使 
trp_gekokujo_mori_messenger_pl|长 州 信 使 
trp_gekokujo_mori_deserter|长 州 逃 兵 
trp_gekokujo_mori_deserter_pl|长 州 逃 兵 
trp_gekokujo_mori_prison_guard|长 州 监 狱 守 卫 
trp_gekokujo_mori_prison_guard_pl|长 州 监 狱 守 卫 
trp_gekokujo_mori_castle_guard|长 州 城 堡 守 卫 
trp_gekokujo_mori_castle_guard_pl|长 州 城 堡 守 卫 
trp_gekokujo_takeda_jizamurai|会 津 见 习 侍 从 
trp_gekokujo_takeda_jizamurai_pl|会 津 见 习 侍 从 
trp_gekokujo_takeda_retainer|会 津 侍 从 
trp_gekokujo_takeda_retainer_pl|会 津 侍 从 
trp_gekokujo_takeda_marksman|会 津 侍 从 射 手 
trp_gekokujo_takeda_marksman_pl|会 津 侍 从 射 手 
trp_gekokujo_takeda_veteran_retainer|资 深 会 津 侍 从 
trp_gekokujo_takeda_veteran_retainer_pl|资 深 会 津 侍 从 
trp_gekokujo_takeda_mounted_retainer|会 津 骑 马 军 官 
trp_gekokujo_takeda_mounted_retainer_pl|会 津 骑 马 军 官 
trp_gekokujo_takeda_samurai_gunner|会 津 铁 炮 武 士 
trp_gekokujo_takeda_samurai_gunner_pl|会 津 铁 炮 武 士 
trp_gekokujo_takeda_samurai_archer|会 津 弓 武 士 
trp_gekokujo_takeda_samurai_archer_pl|会 津 弓 武 士 
trp_gekokujo_takeda_officer|会 津 军 官 
trp_gekokujo_takeda_officer_pl|会 津 军 官 
trp_gekokujo_takeda_mounted_officer|会 津 骑 马 军 官 
trp_gekokujo_takeda_mounted_officer_pl|会 津 骑 马 军 官 
trp_gekokujo_takeda_master_gunner|会 津 铁 炮 队 长 
trp_gekokujo_takeda_master_gunner_pl|会 津 铁 炮 队 长 
trp_gekokujo_takeda_master_archer|会 津 弓 队 长 
trp_gekokujo_takeda_master_archer_pl|会 津 弓 队 长 
trp_gekokujo_takeda_hatamoto_cavalry|会 津 马 回 
trp_gekokujo_takeda_hatamoto_cavalry_pl|会 津 马 回 
trp_gekokujo_takeda_hatamoto_archer|会 津 铁 炮 奉 行 
trp_gekokujo_takeda_hatamoto_archer_pl|会 津 铁 炮 奉 行 
trp_gekokujo_takeda_messenger|会 津 信 使 
trp_gekokujo_takeda_messenger_pl|会 津 信 使 
trp_gekokujo_takeda_deserter|会 津 逃 兵 
trp_gekokujo_takeda_deserter_pl|会 津 逃 兵 
trp_gekokujo_takeda_prison_guard|会 津 监 狱 守 卫 
trp_gekokujo_takeda_prison_guard_pl|会 津 监 狱 守 卫 
trp_gekokujo_takeda_castle_guard|会 津 城 堡 守 卫 
trp_gekokujo_takeda_castle_guard_pl|会 津 城 堡 守 卫 
trp_gekokujo_tokugawa_jizamurai|德 川 见 习 侍 从 
trp_gekokujo_tokugawa_jizamurai_pl|德 川 见 习 侍 从 
trp_gekokujo_tokugawa_retainer|德 川 侍 从 
trp_gekokujo_tokugawa_retainer_pl|德 川 侍 从 
trp_gekokujo_tokugawa_marksman|德 川 侍 从 射 手 
trp_gekokujo_tokugawa_marksman_pl|德 川 侍 从 射 手 
trp_gekokujo_tokugawa_veteran_retainer|资 深 德 川 侍 从 
trp_gekokujo_tokugawa_veteran_retainer_pl|资 深 德 川 侍 从 
trp_gekokujo_tokugawa_mounted_retainer|德 川 骑 马 侍 从 
trp_gekokujo_tokugawa_mounted_retainer_pl|德 川 骑 马 侍 从 
trp_gekokujo_tokugawa_samurai_gunner|德 川 铁 炮 武 士 
trp_gekokujo_tokugawa_samurai_gunner_pl|德 川 铁 炮 武 士 
trp_gekokujo_tokugawa_samurai_archer|德 川 弓 武 士 
trp_gekokujo_tokugawa_samurai_archer_pl|德 川 弓 武 士 
trp_gekokujo_tokugawa_officer|德 川 军 官 
trp_gekokujo_tokugawa_officer_pl|德 川 军 官 
trp_gekokujo_tokugawa_mounted_officer|德 川 骑 马 军 官 
trp_gekokujo_tokugawa_mounted_officer_pl|德 川 骑 马 军 官 
trp_gekokujo_tokugawa_master_gunner|德 川 铁 炮 队 长 
trp_gekokujo_tokugawa_master_gunner_pl|德 川 铁 炮 队 长 
trp_gekokujo_tokugawa_master_archer|德 川 弓 队 长 
trp_gekokujo_tokugawa_master_archer_pl|德 川 弓 队 长 
trp_gekokujo_tokugawa_hatamoto_guard|德 川 亲 卫 
trp_gekokujo_tokugawa_hatamoto_guard_pl|德 川 亲 卫 
trp_gekokujo_tokugawa_hatamoto_gunner|德 川 铁 炮 奉 行 
trp_gekokujo_tokugawa_hatamoto_gunner_pl|德 川 铁 炮 奉 行 
trp_gekokujo_tokugawa_messenger|德 川 信 使 
trp_gekokujo_tokugawa_messenger_pl|德 川 信 使 
trp_gekokujo_tokugawa_deserter|德 川 逃 兵 
trp_gekokujo_tokugawa_deserter_pl|德 川 逃 兵 
trp_gekokujo_tokugawa_prison_guard|德 川 监 狱 守 卫 
trp_gekokujo_tokugawa_prison_guard_pl|德 川 监 狱 守 卫 
trp_gekokujo_tokugawa_castle_guard|德 川 城 堡 守 卫 
trp_gekokujo_tokugawa_castle_guard_pl|德 川 城 堡 守 卫 
trp_gekokujo_miyoshi_jizamurai|德 岛 见 习 侍 从 
trp_gekokujo_miyoshi_jizamurai_pl|德 岛 见 习 侍 从 
trp_gekokujo_miyoshi_retainer|德 岛 侍 从 
trp_gekokujo_miyoshi_retainer_pl|德 岛 侍 从 
trp_gekokujo_miyoshi_marksman|德 岛 侍 从 射 手 
trp_gekokujo_miyoshi_marksman_pl|德 岛 侍 从 射 手 
trp_gekokujo_miyoshi_veteran_retainer|资 深 德 岛 侍 从 
trp_gekokujo_miyoshi_veteran_retainer_pl|资 深 德 岛 侍 从 
trp_gekokujo_miyoshi_mounted_retainer|德 岛 骑 马 侍 从 
trp_gekokujo_miyoshi_mounted_retainer_pl|德 岛 骑 马 侍 从 
trp_gekokujo_miyoshi_samurai_gunner|德 岛 铁 炮 武 士 
trp_gekokujo_miyoshi_samurai_gunner_pl|德 岛 铁 炮 武 士 
trp_gekokujo_miyoshi_samurai_archer|德 岛 弓 武 士 
trp_gekokujo_miyoshi_samurai_archer_pl|德 岛 弓 武 士 
trp_gekokujo_miyoshi_officer|德 岛 军 官 
trp_gekokujo_miyoshi_officer_pl|德 岛 军 官 
trp_gekokujo_miyoshi_mounted_officer|德 岛 骑 马 军 官 
trp_gekokujo_miyoshi_mounted_officer_pl|德 岛 骑 马 军 官 
trp_gekokujo_miyoshi_master_gunner|德 岛 铁 炮 队 长 
trp_gekokujo_miyoshi_master_gunner_pl|德 岛 铁 炮 队 长 
trp_gekokujo_miyoshi_master_archer|德 岛 弓 队 长 
trp_gekokujo_miyoshi_master_archer_pl|德 岛 弓 队 长 
trp_gekokujo_miyoshi_hatamoto_guard|德 岛 亲 卫 
trp_gekokujo_miyoshi_hatamoto_guard_pl|德 岛 亲 卫 
trp_gekokujo_miyoshi_hatamoto_gunner|德 岛 铁 炮 奉 行 
trp_gekokujo_miyoshi_hatamoto_gunner_pl|德 岛 铁 炮 奉 行 
trp_gekokujo_miyoshi_messenger|德 岛 信 使 
trp_gekokujo_miyoshi_messenger_pl|德 岛 信 使 
trp_gekokujo_miyoshi_deserter|德 岛 逃 兵 
trp_gekokujo_miyoshi_deserter_pl|德 岛 逃 兵 
trp_gekokujo_miyoshi_prison_guard|德 岛 监 狱 守 卫 
trp_gekokujo_miyoshi_prison_guard_pl|德 岛 监 狱 守 卫 
trp_gekokujo_miyoshi_castle_guard|德 岛 城 堡 守 卫 
trp_gekokujo_miyoshi_castle_guard_pl|德 岛 城 堡 守 卫 
trp_gekokujo_amako_jizamurai|池 田 见 习 侍 从 
trp_gekokujo_amako_jizamurai_pl|池 田 见 习 侍 从 
trp_gekokujo_amako_retainer|池 田 侍 从 
trp_gekokujo_amako_retainer_pl|池 田 侍 从 
trp_gekokujo_amako_marksman|池 田 侍 从 射 手 
trp_gekokujo_amako_marksman_pl|池 田 侍 从 射 手 
trp_gekokujo_amako_veteran_retainer|资 深 池 田 侍 从 
trp_gekokujo_amako_veteran_retainer_pl|资 深 池 田 侍 从 
trp_gekokujo_amako_mounted_retainer|池 田 骑 马 侍 从 
trp_gekokujo_amako_mounted_retainer_pl|池 田 骑 马 侍 从 
trp_gekokujo_amako_samurai_gunner|池 田 铁 炮 武 士 
trp_gekokujo_amako_samurai_gunner_pl|池 田 铁 炮 武 士 
trp_gekokujo_amako_samurai_archer|池 田 弓 武 士 
trp_gekokujo_amako_samurai_archer_pl|池 田 弓 武 士 
trp_gekokujo_amako_officer|池 田 军 官 
trp_gekokujo_amako_officer_pl|池 田 军 官 
trp_gekokujo_amako_mounted_officer|池 田 骑 马 军 官 
trp_gekokujo_amako_mounted_officer_pl|池 田 骑 马 军 官 
trp_gekokujo_amako_master_gunner|池 田 铁 炮 队 长 
trp_gekokujo_amako_master_gunner_pl|池 田 铁 炮 队 长 
trp_gekokujo_amako_master_archer|池 田 弓 队 长 
trp_gekokujo_amako_master_archer_pl|池 田 弓 队 长 
trp_gekokujo_amako_hatamoto_guard|池 田 亲 卫 
trp_gekokujo_amako_hatamoto_guard_pl|池 田 亲 卫 
trp_gekokujo_amako_hatamoto_cavalry|池 田 马 回 
trp_gekokujo_amako_hatamoto_cavalry_pl|池 田 马 回 
trp_gekokujo_amako_messenger|池 田 信 使 
trp_gekokujo_amako_messenger_pl|池 田 信 使 
trp_gekokujo_amako_deserter|池 田 逃 兵 
trp_gekokujo_amako_deserter_pl|池 田 逃 兵 
trp_gekokujo_amako_prison_guard|池 田 监 狱 守 卫 
trp_gekokujo_amako_prison_guard_pl|池 田 监 狱 守 卫 
trp_gekokujo_amako_castle_guard|池 田 城 堡 守 卫 
trp_gekokujo_amako_castle_guard_pl|池 田 城 堡 守 卫 
trp_gekokujo_otomo_jizamurai|细 川 见 习 侍 从 
trp_gekokujo_otomo_jizamurai_pl|细 川 见 习 侍 从 
trp_gekokujo_otomo_retainer|细 川 侍 从 
trp_gekokujo_otomo_retainer_pl|细 川 侍 从 
trp_gekokujo_otomo_marksman|细 川 侍 从 射 手 
trp_gekokujo_otomo_marksman_pl|细 川 侍 从 射 手 
trp_gekokujo_otomo_veteran_retainer|资 深 细 川 侍 从 
trp_gekokujo_otomo_veteran_retainer_pl|资 深 细 川 侍 从 
trp_gekokujo_otomo_mounted_retainer|安 装 细 川 骑 马 侍 从 
trp_gekokujo_otomo_mounted_retainer_pl|安 装 细 川 侍 从 
trp_gekokujo_otomo_samurai_gunner|细 川 铁 炮 武 士 
trp_gekokujo_otomo_samurai_gunner_pl|细 川 铁 炮 武 士 
trp_gekokujo_otomo_samurai_archer|细 川 弓 武 士 
trp_gekokujo_otomo_samurai_archer_pl|细 川 弓 武 士 
trp_gekokujo_otomo_officer|细 川 军 官 
trp_gekokujo_otomo_officer_pl|细 川 军 官 
trp_gekokujo_otomo_mounted_officer|细 川 骑 马 军 官 
trp_gekokujo_otomo_mounted_officer_pl|细 川 骑 马 军 官 
trp_gekokujo_otomo_master_gunner|细 川 铁 炮 队 长 
trp_gekokujo_otomo_master_gunner_pl|细 川 铁 炮 队 长 
trp_gekokujo_otomo_master_archer|细 川 弓 队 长 
trp_gekokujo_otomo_master_archer_pl|细 川 弓 队 长 
trp_gekokujo_otomo_hatamoto_cavalry|细 川 马 回 
trp_gekokujo_otomo_hatamoto_cavalry_pl|细 川 马 回 
trp_gekokujo_otomo_hatamoto_gunner|细 川 铁 炮 奉 行 
trp_gekokujo_otomo_hatamoto_gunner_pl|细 川 铁 炮 奉 行 
trp_gekokujo_otomo_messenger|细 川 信 使 
trp_gekokujo_otomo_messenger_pl|细 川 信 使 
trp_gekokujo_otomo_deserter|细 川 逃 兵 
trp_gekokujo_otomo_deserter_pl|细 川 逃 兵 
trp_gekokujo_otomo_prison_guard|细 川 监 狱 守 卫 
trp_gekokujo_otomo_prison_guard_pl|细 川 监 狱 守 卫 
trp_gekokujo_otomo_castle_guard|细 川 城 堡 守 卫 
trp_gekokujo_otomo_castle_guard_pl|细 川 城 堡 守 卫 
trp_rising_sun_hirosaki_jizamurai|弘 前 见 习 侍 从 
trp_rising_sun_hirosaki_jizamurai_pl|弘 前 见 习 侍 从 
trp_rising_sun_hirosaki_retainer|弘 前 侍 从 
trp_rising_sun_hirosaki_retainer_pl|弘 前 侍 从 
trp_rising_sun_hirosaki_marksman|弘 前 侍 从 射 手 
trp_rising_sun_hirosaki_marksman_pl|弘 前 侍 从 射 手 
trp_rising_sun_hirosaki_veteran_retainer|资 深 弘 前 侍 从 
trp_rising_sun_hirosaki_veteran_retainer_pl|资 深 弘 前 侍 从 
trp_rising_sun_hirosaki_mounted_retainer|弘 前 骑 马 侍 从 
trp_rising_sun_hirosaki_mounted_retainer_pl|弘 前 骑 马 侍 从 
trp_rising_sun_hirosaki_samurai_gunner|弘 前 铁 炮 武 士 
trp_rising_sun_hirosaki_samurai_gunner_pl|弘 前 铁 炮 武 士 
trp_rising_sun_hirosaki_samurai_archer|弘 前 弓 武 士 
trp_rising_sun_hirosaki_samurai_archer_pl|弘 前 弓 武 士 
trp_rising_sun_hirosaki_officer|弘 前 军 官 
trp_rising_sun_hirosaki_officer_pl|弘 前 军 官 
trp_rising_sun_hirosaki_mounted_officer|弘 前 骑 马 军 官 
trp_rising_sun_hirosaki_mounted_officer_pl|弘 前 骑 马 军 官 
trp_rising_sun_hirosaki_master_gunner|弘 前 铁 炮 武 士 
trp_rising_sun_hirosaki_master_gunner_pl|弘 前 铁 炮 武 士 
trp_rising_sun_hirosaki_master_archer|弘 前 弓 武 士 
trp_rising_sun_hirosaki_master_archer_pl|弘 前 弓 武 士 
trp_rising_sun_hirosaki_hatamoto_cavalry|弘 前 马 回 
trp_rising_sun_hirosaki_hatamoto_cavalry_pl|弘 前 马 回 
trp_rising_sun_hirosaki_hatamoto_gunner|弘 前 铁 炮 奉 行 
trp_rising_sun_hirosaki_hatamoto_gunner_pl|弘 前 铁 炮 奉 行 
trp_rising_sun_hirosaki_messenger|弘 前 信 使 
trp_rising_sun_hirosaki_messenger_pl|弘 前 信 使 
trp_rising_sun_hirosaki_deserter|弘 前 逃 兵 
trp_rising_sun_hirosaki_deserter_pl|弘 前 逃 兵 
trp_rising_sun_hirosaki_prison_guard|弘 前 监 狱 守 卫 
trp_rising_sun_hirosaki_prison_guard_pl|弘 前 监 狱 守 卫 
trp_rising_sun_hirosaki_castle_guard|弘 前 城 堡 守 卫 
trp_rising_sun_hirosaki_castle_guard_pl|弘 前 城 堡 守 卫 
trp_gekokujo_asakura_jizamurai|彦 根 见 习 侍 从 
trp_gekokujo_asakura_jizamurai_pl|彦 根 见 习 侍 从 
trp_gekokujo_asakura_retainer|彦 根 侍 从 
trp_gekokujo_asakura_retainer_pl|彦 根 侍 从 
trp_gekokujo_asakura_marksman|彦 根 侍 从 射 手 
trp_gekokujo_asakura_marksman_pl|彦 根 侍 从 射 手 
trp_gekokujo_asakura_veteran_retainer|资 深 彦 根 侍 从 
