ip_dplmc_info|外 交 模 式 
ip_history_note2_text|尊 王 攘 夷 是 一 句 四 字 熟 语 ， 在 19世 纪 50年 代 至 60年 代 的 幕 末 时 期 被 用 作 一 个 政 治 运 动 的 口 号 。 该 运 动 基 于 朱 子 学 与 日 本 国 学 ， 旨 在 推 翻 德 川 幕 府 ， 恢 复 天 皇 的 权 力 。 ^^随 着 18世 纪 末 至 19世 纪 初 外 国 船 只 侵 入 日 本 海 域 的 次 数 日 益 增 多 ， 锁 国 政 策 愈 发 受 到 质 疑 。 尊 王 攘 夷 中 的 " 攘 夷 " （ 驱 逐 蛮 夷 ） 部 分 ， 演 变 为 对 1854年 《 神 奈 川 条 约 》 的 反 弹 ， 该 条 约 迫 使 日 本 对 外 通 商 。 在 美 国 海 军 准 将 马 修 ·C·佩 里 所 率 " 黑 船 " 的 军 事 威 胁 下 ， 该 条 约 是 在 胁 迫 下 签 署 的 ， 并 遭 到 武 士 阶 层 的 强 烈 反 对 。 德 川 幕 府 无 视 朝 廷 意 愿 而 对 外 国 人 无 能 为 力 ， 这 一 事 实 被 吉 田 松 阴 及 其 他 反 幕 府 领 袖 视 为 " 尊 王 " 部 分 未 能 奏 效 的 证 据 ， 并 认 为 必 须 由 更 能 效 忠 天 皇 、 执 行 天 皇 意 志 的 政 府 取 代 幕 府 。 ^^因 此 ， 这 一 理 念 被 叛 乱 的 长 州 藩 和 萨 摩 藩 用 作 战 斗 口 号 。 京 都 的 朝 廷 同 情 该 运 动 。 孝 明 天 皇 个 人 赞 同 这 种 情 绪 ， 并 打 破 数 个 世 纪 以 来 的 朝 廷 传 统 ， 开 始 亲 自 积 极 参 与 国 事 ： 一 有 机 会 ， 便 痛 斥 条 约 ， 并 试 图 干 涉 幕 府 将 军 的 继 嗣 。 他 的 努 力 在 1863年 3月 以 颁 布 " 攘 夷 敕 令 " 达 到 高 潮 。 尽 管 幕 府 无 意 执 行 该 命 令 ， 但 它 仍 然 激 发 了 针 对 幕 府 本 身 及 在 日 外 国 人 的 袭 击 ， 最 著 名 的 事 件 是 生 麦 事 件 中 商 人 查 尔 斯 ·伦 诺 克 斯 ·理 查 森 的 遇 害 。 其 他 袭 击 还 包 括 炮 击 下 关 的 外 国 船 只 。 浪 人 （ 无 主 武 士 ） 也 聚 集 到 这 一 事 业 下 ， 暗 杀 幕 府 官 员 和 西 方 人 。 ^^这 成 为 尊 王 攘 夷 运 动 的 顶 峰 ， 因 为 西 方 列 强 的 回 应 是 要 求 为 暗 杀 和 武 士 针 对 西 方 利 益 的 其 他 行 为 支 付 赔 偿 。 1864年 ， 四 个 西 方 国 家 发 动 了 下 关 战 争 ， 击 溃 了 薄 弱 的 防 御 并 短 暂 占 领 了 该 地 区 。 虽 然 这 一 事 件 表 明 日 本 无 法 与 西 方 军 事 力 量 匹 敌 ， 但 也 进 一 步 削 弱 了 幕 府 ， 使 叛 乱 诸 藩 得 以 结 盟 并 将 其 推 翻 ， 促 成 了 明 治 维 新 。 ^^这 一 口 号 本 身 从 未 成 为 政 府 或 叛 乱 势 力 的 实 际 政 策 ； 尽 管 言 辞 激 烈 ， 尤 其 是 萨 摩 藩 与 西 方 有 着 密 切 的 联 系 ， 购 买 枪 支 、 火 炮 、 船 只 和 其 他 技 术 。 ^^在 明 治 天 皇 象 征 性 复 位 后 ， 尊 王 攘 夷 的 口 号 被 " 富 国 强 兵 " 所 取 代 ， 后 者 成 为 明 治 时 期 的 号 召 口 号 ， 并 埋 下 了 日 本 在 二 战 中 行 动 的 种 子 。 ^^
ip_history_note3|德 川 幕 府 
ip_history_note3_text|德 川 幕 府 ， 又 称 江 户 幕 府 ， 是 日 本 江 户 时 代 从 1603年 至 1868年 的 军 事 政 府 。 ^^德 川 幕 府 由 德 川 家 康 在 关 原 之 战 获 胜 后 建 立 ， 结 束 了 足 利 幕 府 崩 溃 后 战 国 时 代 的 内 战 。 家 康 成 为 将 军 ， 德 川 氏 从 位 于 东 方 城 市 江 户 （ 东 京 ） 的 江 户 城 ， 与 大 名 领 主 及 武 士 阶 级 共 同 统 治 日 本 。 ^^德 川 幕 府 以 严 格 的 德 川 身 份 制 度 组 织 日 本 社 会 ， 并 以 锁 国 的 孤 立 主 义 政 策 禁 止 大 多 数 外 国 人 入 境 ， 以 促 进 政 治 稳 定 。 日 本 臣 民 也 被 禁 止 离 开 国 家 。 德 川 将 军 以 封 建 制 度 统 治 日 本 ， 各 大 名 管 理 各 自 的 藩 （ 封 建 领 地 ） ， 尽 管 全 国 在 名 义 上 仍 被 组 织 为 令 制 国 。 在 德 川 幕 府 统 治 下 ， 日 本 经 历 了 快 速 的 经 济 增 长 和 城 市 化 ， 导 致 了 町 人 阶 级 和 浮 世 文 化 的 兴 起 。 ^^德 川 幕 府 在 1853年 起 的 幕 末 时 期 走 向 衰 落 ， 并 于 1868年 在 明 治 维 新 中 被 朝 廷 支 持 者 推 翻 。 明 治 政 府 建 立 后 ， 日 本 帝 国 成 立 ， 德 川 氏 的 效 忠 者 在 戊 辰 战 争 中 继 续 作 战 ， 直 到 虾 夷 共 和 国 于 1869年 6月 在 箱 馆 战 争 中 被 击 败 。 ^^
ip_history_note4|锁 国 
ip_history_note4_text|锁 国 是 日 本 德 川 幕 府 的 一 项 孤 立 主 义 外 交 政 策 ， 在 江 户 时 代 （ 1603年 至 1868年 ） 期 间 ， 日 本 与 其 他 国 家 的 关 系 和 贸 易 受 到 严 格 限 制 ， 几 乎 所 有 外 国 人 都 被 禁 止 进 入 日 本 ， 普 通 日 本 人 也 被 禁 止 离 开 国 家 。 这 项 政 策 由 德 川 家 光 时 期 的 幕 府 通 过 1633年 至 1639年 间 的 一 系 列 法 令 和 政 策 实 施 。 ^^日 本 在 锁 国 政 策 下 并 非 完 全 孤 立 。 锁 国 是 一 种 由 幕 府 和 某 些 藩 对 商 业 和 对 外 关 系 实 行 严 格 管 制 的 制 度 。 通 过 位 于 日 本 西 部 遥 远 的 长 崎 港 与 中 国 有 广 泛 的 贸 易 ， 那 里 设 有 中 国 人 居 住 区 。 政 策 规 定 ， 唯 一 被 允 许 的 欧 洲 影 响 是 长 崎 出 岛 的 荷 兰 商 馆 。 西 方 科 学 、 技 术 和 医 学 创 新 通 过 " 兰 学 " 流 入 日 本 。 ^^与 朝 鲜 的 贸 易 仅 限 于 对 马 藩 （ 今 长 崎 县 的 一 部 分 ） 以 及 位 于 草 梁 （ 今 釜 山 的 一 部 分 ） 的 倭 馆 。 此 外 ， 还 有 通 过 朝 鲜 通 信 使 进 行 的 外 交 交 流 。 与 阿 伊 努 人 的 贸 易 仅 限 于 北 海 道 的 松 前 藩 ， 与 琉 球 王 国 的 贸 易 则 在 萨 摩 藩 （ 今 鹿 儿 岛 县 ） 进 行 。 除 了 这 些 在 边 缘 藩 国 的 直 接 商 业 接 触 外 ， 贸 易 国 还 定 期 派 遣 使 节 前 往 江 户 的 将 军 处 和 大 阪 城 。 ^^该 政 策 于 1853年 后 结 束 ， 当 时 马 修 ·C·佩 里 率 领 的 佩 里 远 征 以 一 系 列 条 约 （ 即 《 神 奈 川 条 约 》 ） 强 迫 日 本 向 美 国 以 及 更 广 泛 的 西 方 贸 易 开 放 。 ^^
ip_history_note5|佩 里 远 征 
ip_history_note5_text|佩 里 远 征 （ " 黑 船 来 航 " ） 是 美 国 海 军 战 舰 在 两 次 独 立 航 行 （ 1852-1853年 和 1854-1855年 ） 中 对 德 川 幕 府 进 行 的 一 次 外 交 和 军 事 远 征 。 此 次 远 征 的 目 标 包 括 勘 探 、 测 量 ， 并 与 该 地 区 各 国 建 立 外 交 关 系 及 谈 判 贸 易 协 定 。 与 日 本 政 府 开 启 接 触 被 视 为 此 次 远 征 的 首 要 任 务 ， 也 是 其 发 起 的 核 心 原 因 之 一 。 ^^远 征 由 海 军 准 将 马 修 ·卡 尔 布 雷 思 ·佩 里 指 挥 ， 受 总 统 米 勒 德 ·菲 尔 莫 尔 的 命 令 。 佩 里 的 主 要 目 标 是 强 制 结 束 日 本 长 达 220年 的 孤 立 政 策 ， 并 在 必 要 时 通 过 炮 舰 外 交 向 美 国 贸 易 开 放 日 本 港 口 。 佩 里 远 征 直 接 促 使 日 本 与 西 方 列 强 建 立 外 交 关 系 ， 并 最 终 导 致 执 政 的 德 川 幕 府 垮 台 和 天 皇 复 位 。 远 征 之 后 ， 日 本 与 世 界 蓬 勃 发 展 的 贸 易 路 线 引 发 了 " 日 本 主 义 " 的 文 化 潮 流 ， 日 本 文 化 的 各 个 方 面 影 响 了 欧 洲 和 美 国 的 艺 术 。 
ip_history_note6|神 奈 川 条 约 
ip_history_note6_text|《 神 奈 川 条 约 》 ， 又 称 《 日 美 和 亲 条 约 》 ， 是 1854年 3月 31日 美 国 与 德 川 幕 府 签 署 的 一 项 条 约 。 该 条 约 在 武 力 威 胁 下 签 署 ， 实 际 上 意 味 着 日 本 持 续 220年 之 久 的 锁 国 政 策 终 结 ， 向 美 国 船 只 开 放 了 下 田 和 函 馆 港 口 。 它 还 确 保 了 美 国 遇 难 船 員 的 安 全 ， 并 确 立 了 美 国 驻 日 领 事 的 职 位 。 该 条 约 促 使 与 其 他 西 方 列 强 签 署 类 似 条 约 ， 建 立 外 交 关 系 。 
ip_history_note7|幕 末 
ip_history_note7_text|幕 末 是 江 户 时 代 末 期 德 川 幕 府 走 向 终 结 的 最 后 几 年 。 在 1853年 至 1867年 间 ， 在 外 交 和 军 事 压 力 下 ， 日 本 结 束 了 其 被 称 为 锁 国 的 孤 立 主 义 外 交 政 策 ， 并 从 封 建 的 德 川 幕 府 转 变 为 现 代 明 治 政 府 的 帝 国 。 这 一 时 期 主 要 的 意 识 形 态 -政 治 分 歧 存 在 于 拥 护 天 皇 的 攘 夷 志 士 （ 维 新 志 士 ） 与 幕 府 势 力 之 间 ， 后 者 包 括 精 锐 的 新 选 组 武 士 。 ^^尽 管 这 两 大 集 团 是 最 显 眼 的 力 量 ， 许 多 其 他 派 系 也 试 图 利 用 幕 末 的 混 乱 谋 取 个 人 权 力 。 此 外 ， 还 有 另 外 两 个 主 要 的 不 满 驱 动 力 ： 第 一 ， 外 样 大 名 日 益 增 长 的 怨 恨 ； 第 二 ， 马 修 ·C·佩 里 到 来 后 日 益 高 涨 的 排 外 情 绪 。 前 者 与 那 些 在 1600年 关 原 之 战 中 与 德 川 军 作 战 的 大 名 前 辈 有 关 ， 此 战 后 他 们 被 永 久 排 斥 在 幕 府 所 有 有 权 势 的 职 位 之 外 。 后 者 则 表 现 为 " 尊 王 攘 夷 " 的 口 号 。 幕 末 的 转 折 点 是 戊 辰 战 争 和 鸟 羽 伏 见 之 战 ， 当 时 亲 幕 府 的 军 队 被 击 败 。 ^^
ip_history_note8|明 治 维 新 
ip_history_note8_text|明 治 维 新 ， 当 时 称 为 " 御 一 新 " ， 又 称 明 治 革 新 、 明 治 革 命 、 明 治 更 始 、 明 治 改 革 或 明 治 更 新 ， 是 1868年 将 实 际 统 治 权 交 还 给 明 治 天 皇 ， 并 导 致 日 本 西 方 化 的 政 治 事 件 。 尽 管 明 治 维 新 之 前 也 有 在 位 的 天 皇 ， 但 这 一 事 件 恢 复 了 天 皇 的 实 际 权 力 ， 并 将 政 治 体 制 统 一 于 天 皇 之 下 。 维 新 引 发 了 日 本 政 治 和 社 会 结 构 的 巨 大 变 化 ， 横 跨 江 户 时 代 末 期 （ 常 称 幕 末 ） 和 明 治 时 代 初 期 ， 在 此 期 间 日 本 迅 速 工 业 化 并 采 纳 了 西 方 的 思 想 、 生 产 方 法 和 技 术 。 ^^维 新 的 起 源 在 于 德 川 幕 府 面 临 的 经 济 和 政 治 困 难 。 外 国 势 力 在 该 地 区 的 蚕 食 加 剧 了 这 些 问 题 ， 挑 战 了 德 川 的 锁 国 政 策 ， 特 别 是 奉 美 国 总 统 米 勒 德 ·菲 尔 莫 尔 之 命 到 来 的 佩 里 远 征 。 在 随 后 签 订 的 不 平 等 条 约 下 ， 日 本 被 迫 向 西 方 开 放 ， 使 得 将 军 维 持 日 本 主 权 的 能 力 受 到 质 疑 。 天 皇 对 幕 府 行 动 的 斥 责 导 致 武 士 阶 级 内 部 在 效 忠 将 军 还 是 效 忠 天 皇 的 封 建 义 务 上 出 现 意 识 形 态 分 歧 。 许 多 中 下 级 武 士 成 为 " 志 士 " ， 致 力 于 执 行 天 皇 的 攘 夷 诏 令 。 藩 内 的 派 系 争 端 导 致 一 些 藩 与 德 川 幕 府 发 生 冲 突 。 在 经 历 了 一 些 初 期 挫 折 后 ， 各 藩 组 成 了 倒 幕 同 盟 ， 并 在 萨 摩 和 长 州 的 领 导 下 推 翻 了 幕 府 体 制 。 ^^1868年 1月 3日 ， 明 治 天 皇 宣 布 将 政 治 权 力 复 归 皇 室 。 新 天 皇 在 《 五 条 御 誓 文 》 中 表 达 了 新 政 权 的 目 标 。 随 后 德 川 氏 对 新 政 府 的 抵 抗 体 现 为 戊 辰 战 争 和 短 暂 的 虾 夷 共 和 国 ， 但 到 19世 纪 70年 代 ， 天 皇 的 权 威 已 实 际 上 无 可 置 疑 。 新 政 府 重 组 了 整 个 社 会 阶 层 ， 废 除 了 旧 货 币 、 藩 阀 制 度 ， 并 最 终 废 除 了 武 士 的 阶 级 地 位 。 ^^幕 府 的 废 除 以 及 效 仿 外 国 列 强 的 工 业 化 ， 引 发 了 佐 贺 之 乱 和 西 南 战 争 等 反 弹 ， 但 最 终 终 结 了 日 本 社 会 的 封 建 制 度 。 明 治 维 新 是 奠 定 日 本 帝 国 制 度 的 政 治 过 程 ， 并 将 随 着 日 本 对 其 邻 国 推 行 殖 民 利 益 而 对 东 亚 产 生 深 远 影 响 。 1889年 颁 布 的 《 大 日 本 帝 国 宪 法 》 一 直 施 行 到 二 战 结 束 后 盟 军 占 领 日 本 为 止 。 ^^
