itm_no_item|无 效 项 目 
itm_gekokujo_hakama_4_pl|武 士 服 
itm_gekokujo_hakama_5|武 士 服 
itm_gekokujo_hakama_5_pl|武 士 服 
itm_gekokujo_hakama_6|武 士 服 
itm_gekokujo_hakama_6_pl|武 士 服 
itm_daimyo_hakama_new|武 士 服 
itm_daimyo_hakama_new_pl|武 士 服 
itm_daimyo_hakama_mori|毛 利 武 士 服 
itm_daimyo_hakama_mori_pl|毛 利 武 士 服 
itm_daimyo_hakama_oto|武 士 服 
itm_daimyo_hakama_oto_pl|武 士 服 
itm_daimyo_hakama_hojo|北 条 武 士 服 
itm_daimyo_hakama_hojo_pl|北 条 武 士 服 
itm_daimyo_hakama_new2|武 士 服 
itm_daimyo_hakama_new2_pl|武 士 服 
itm_gekokujo_haori_1|武 士 服 
itm_gekokujo_haori_1_pl|武 士 服 
itm_gekokujo_haori_2|武 士 服 
itm_gekokujo_haori_2_pl|武 士 服 
itm_gekokujo_haori_3|武 士 服 
itm_gekokujo_haori_3_pl|武 士 服 
itm_gekokujo_haori_4|武 士 服 
itm_gekokujo_haori_4_pl|武 士 服 
itm_gekokujo_haori_5|武 士 服 
itm_gekokujo_haori_5_pl|武 士 服 
itm_gekokujo_haori_6|武 士 服 
itm_gekokujo_haori_6_pl|武 士 服 
itm_gekokujo_kimono_2_monk|袈 裟 
itm_gekokujo_kimono_2_monk_pl|袈 裟 
itm_gekokujo_hakama_1_miko|巫 女 服 装 
itm_gekokujo_hakama_1_miko_pl|巫 女 服 装 
itm_sugo_monkish|袈 裟 
itm_sugo_monkish_pl|袈 裟 
itm_sam_monk_kamuso|斗 笠 
itm_sam_monk_kamuso_pl|斗 笠 
itm_gekokujo_tatami_half_1|畳 式 腹 当 
itm_gekokujo_tatami_half_1_pl|畳 式 腹 当 
itm_gekokujo_tatami_half_2|畳 式 腹 当 
itm_gekokujo_tatami_half_2_pl|畳 式 腹 当 
itm_gekokujo_tatami_half_3|畳 式 腹 当 
itm_gekokujo_tatami_half_3_pl|畳 式 腹 当 
itm_gekokujo_haratearuda_5|畳 式 腹 当 
itm_gekokujo_haratearuda_5_pl|畳 式 腹 当 
itm_gekokujo_okegawa_short_ar2|畳 式 腹 当 
itm_gekokujo_okegawa_short_ar2_pl|畳 式 腹 当 
itm_gekokujo_okegawa_half_1|桶 侧 腹 当 
itm_gekokujo_okegawa_half_1_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_2|桶 侧 腹 当 
itm_gekokujo_okegawa_half_2_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_3|桶 侧 腹 当 
itm_gekokujo_okegawa_half_3_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_4|桶 侧 腹 当 
itm_gekokujo_okegawa_half_4_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_5|桶 侧 腹 当 
itm_gekokujo_okegawa_half_5_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_6|桶 侧 腹 当 
itm_gekokujo_okegawa_half_6_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_uesugi|上 杉 腹 当 
itm_gekokujo_okegawa_half_uesugi_pl|上 杉 腹 当 
itm_gekokujo_okegawa_half_date|伊 达 腹 当 
itm_gekokujo_okegawa_half_date_pl|伊 达 腹 当 
itm_gekokujo_okegawa_half_oda|织 田 腹 当 
itm_gekokujo_okegawa_half_oda_pl|织 田 腹 当 
itm_gekokujo_okegawa_half_mori|毛 利 腹 当 
itm_gekokujo_okegawa_half_mori_pl|毛 利 腹 当 
itm_gekokujo_okegawa_half_takeda|武 田 腹 当 
itm_gekokujo_okegawa_half_takeda_pl|武 田 腹 当 
itm_gekokujo_okegawa_half_tokugawa|德 川 腹 当 
itm_gekokujo_okegawa_half_tokugawa_pl|德 川 腹 当 
itm_gekokujo_mogami_half_1|最 上 腹 当 
itm_gekokujo_mogami_half_1_pl|最 上 腹 当 
itm_gekokujo_mogami_half_2|最 上 腹 当 
itm_gekokujo_mogami_half_2_pl|最 上 腹 当 
itm_gekokujo_mogami_half_3|最 上 腹 当 
itm_gekokujo_mogami_half_3_pl|最 上 腹 当 
itm_gekokujo_tatami_short_1|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_1_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_2|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_2_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_3|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_3_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_4|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_4_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_5|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_5_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_6|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_6_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_7|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_7_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_8|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_8_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_ito|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_ito_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_saito|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_saito_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_ashikaga|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_ashikaga_pl|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_imagawa|御 贷 畳 式 具 足 
itm_gekokujo_tatami_short_imagawa_pl|御 贷 畳 式 具 足 
itm_gekokujo_bandit_1|御 贷 畳 式 具 足 
itm_gekokujo_bandit_1_pl|御 贷 畳 式 具 足 
itm_gekokujo_bandit_2|御 贷 畳 式 具 足 
itm_gekokujo_bandit_2_pl|御 贷 畳 式 具 足 
itm_gekokujo_bandit_3|御 贷 畳 式 具 足 
itm_gekokujo_bandit_3_pl|御 贷 畳 式 具 足 
itm_gekokujo_bandit_4|御 贷 畳 式 具 足 
itm_gekokujo_bandit_4_pl|御 贷 畳 式 具 足 
itm_gekokujo_bandit_5|御 贷 畳 式 具 足 
itm_gekokujo_bandit_5_pl|御 贷 畳 式 具 足 
itm_gekokujo_bandit_6|御 贷 畳 式 具 足 
itm_gekokujo_bandit_6_pl|御 贷 畳 式 具 足 
itm_gekokujo_okegawa_short_1|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_1_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_2|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_2_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_3|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_3_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_4|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_4_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_5|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_5_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_6|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_6_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_7|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_7_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_8|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_8_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_9|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_9_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_10|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_10_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_11|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_11_pl|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_12|御 贷 桶 侧 具 足 
itm_gekokujo_okegawa_short_12_pl|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_takeda_ashigaru5|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_takeda_ashigaru5_pl|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_takeda_ashigaru6|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_takeda_ashigaru6_pl|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_ji_tatami|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_ji_tatami_pl|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_ji_tatami9|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_ji_tatami9_pl|御 贷 桶 侧 具 足 
itm_blueblood_okegawa_honganji_expert_ashigaru|僧 兵 御 贷 具 足 
itm_blueblood_okegawa_honganji_expert_ashigaru_pl|僧 兵 御 贷 具 足 
itm_blueblood_okegawa_honganji_expert_ashigaru1|僧 兵 御 贷 具 足 
itm_blueblood_okegawa_honganji_expert_ashigaru1_pl|僧 兵 御 贷 具 足 
itm_gekokujo_okegawa_short_uesugi|上 杉 家 臣 具 足 
itm_gekokujo_okegawa_short_uesugi_pl|上 杉 御 贷 具 足 
itm_gekokujo_okegawa_short_uesugi2|上 杉 御 贷 具 足 
itm_gekokujo_okegawa_short_uesugi2_pl|上 杉 御 贷 具 足 
itm_gekokujo_okegawa_short_uesugi3|上 杉 御 贷 具 足 
itm_gekokujo_okegawa_short_uesugi3_pl|上 杉 御 贷 具 足 
itm_gekokujo_okegawa_short_mogami|最 上 御 贷 具 足 
itm_gekokujo_okegawa_short_mogami_pl|最 上 御 贷 具 足 
itm_gekokujo_okegawa_short_mogami2|最 上 御 贷 具 足 
itm_gekokujo_okegawa_short_mogami2_pl|最 上 御 贷 具 足 
itm_gekokujo_okegawa_short_date|伊 达 御 贷 具 足 
itm_gekokujo_okegawa_short_date_pl|伊 达 御 贷 具 足 
itm_gekokujo_okegawa_short_date2|伊 达 御 贷 具 足 
itm_gekokujo_okegawa_short_date2_pl|伊 达 御 贷 具 足 
itm_gekokujo_okegawa_short_ikko|一 向 宗 御 贷 具 足 
itm_gekokujo_okegawa_short_ikko_pl|一 向 宗 御 贷 具 足 
itm_gekokujo_okegawa_short_ikko2|一 向 宗 御 贷 具 足 
itm_gekokujo_okegawa_short_ikko2_pl|一 向 宗 御 贷 具 足 
itm_gekokujo_okegawa_short_ikko5|一 向 宗 御 贷 具 足 
itm_gekokujo_okegawa_short_ikko5_pl|一 向 宗 御 贷 具 足 
itm_gekokujo_okegawa_short_odap|织 田 御 贷 具 足 
itm_gekokujo_okegawa_short_odap_pl|织 田 御 贷 具 足 
itm_gekokujo_okegawa_short_oda|织 田 御 贷 具 足 
itm_gekokujo_okegawa_short_oda_pl|织 田 御 贷 具 足 
itm_gekokujo_okegawa_short_oda2|织 田 御 贷 具 足 
itm_gekokujo_okegawa_short_oda2_pl|织 田 御 贷 具 足 
itm_gekokujo_okegawa_short_mori|毛 利 御 贷 具 足 
itm_gekokujo_okegawa_short_mori_pl|毛 利 御 贷 具 足 
itm_gekokujo_okegawa_short_mori2|毛 利 御 贷 具 足 
itm_gekokujo_okegawa_short_mori2_pl|毛 利 御 贷 具 足 
itm_gekokujo_okegawa_short_takeda|武 田 御 贷 具 足 
itm_gekokujo_okegawa_short_takeda_pl|武 田 御 贷 具 足 
itm_gekokujo_retainer_takeda|武 田 御 贷 具 足 
itm_gekokujo_retainer_takeda_pl|武 田 御 贷 具 足 
itm_blueblood_okegawa_takeda_ashigaru|武 田 御 贷 具 足 
itm_blueblood_okegawa_takeda_ashigaru_pl|武 田 御 贷 具 足 
itm_gekokujo_okegawa_short_tokugawa|德 川 御 贷 具 足 
itm_gekokujo_okegawa_short_tokugawa_pl|德 川 御 贷 具 足 
itm_gekokujo_okegawa_short_tokugawa2|德 川 御 贷 具 足 
itm_gekokujo_okegawa_short_tokugawa2_pl|德 川 御 贷 具 足 
itm_blueblood_okegawa_tokugawa_ashigaru|德 川 御 贷 具 足 
itm_blueblood_okegawa_tokugawa_ashigaru_pl|德 川 御 贷 具 足 
itm_blueblood_okegawa_tokugawa_ashigaru2|德 川 御 贷 具 足 
itm_blueblood_okegawa_tokugawa_ashigaru2_pl|德 川 御 贷 具 足 
itm_gekokujo_okegawa_short_shimazu|岛 津 御 贷 具 足 
itm_gekokujo_okegawa_short_shimazu_pl|岛 津 御 贷 具 足 
itm_gekokujo_okegawa_short_shimazu2|岛 津 御 贷 具 足 
itm_gekokujo_okegawa_short_shimazu2_pl|岛 津 御 贷 具 足 
itm_gekokujo_okegawa_short_ryuzoji|龙 造 寺 御 贷 具 足 
itm_gekokujo_okegawa_short_ryuzoji_pl|龙 造 寺 御 贷 具 足 
itm_gekokujo_okegawa_short_ryuzoji2|龙 造 寺 御 贷 具 足 
itm_gekokujo_okegawa_short_ryuzoji2_pl|龙 造 寺 御 贷 具 足 
itm_gekokujo_okegawa_short_hojo|北 条 御 贷 具 足 
itm_gekokujo_okegawa_short_hojo_pl|北 条 御 贷 具 足 
itm_gekokujo_okegawa_short_hojo2|北 条 御 贷 具 足 
itm_gekokujo_okegawa_short_hojo2_pl|北 条 御 贷 具 足 
itm_gekokujo_retainer_ashikaga|足 利 御 贷 具 足 
itm_gekokujo_retainer_ashikaga_pl|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga_pl|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga3|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga3_pl|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga4|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga4_pl|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga5|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_ashikaga5_pl|足 利 御 贷 具 足 
itm_gekokujo_okegawa_short_amako|尼 子 御 贷 具 足 
itm_gekokujo_okegawa_short_amako_pl|尼 子 御 贷 具 足 
itm_gekokujo_okegawa_short_otomo|大 友 御 贷 具 足 
itm_gekokujo_okegawa_short_otomo_pl|大 友 御 贷 具 足 
itm_gekokujo_okegawa_short_otomo2|大 友 御 贷 具 足 
itm_gekokujo_okegawa_short_otomo2_pl|大 友 御 贷 具 足 
itm_gekokujo_okegawa_short_ito_slv|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito_slv_pl|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito_pl|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito2|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito2_pl|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito3|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_ito3_pl|伊 东 御 贷 具 足 
itm_gekokujo_okegawa_short_imagawa|今 川 御 贷 具 足 
itm_gekokujo_okegawa_short_imagawa_pl|今 川 御 贷 具 足 
itm_gekokujo_okegawa_short_imagawa2|今 川 御 贷 具 足 
itm_gekokujo_okegawa_short_imagawa2_pl|今 川 御 贷 具 足 
itm_gekokujo_okegawa_short_imagawa_slv|今 川 御 贷 具 足 
itm_gekokujo_okegawa_short_imagawa_slv_pl|今 川 御 贷 具 足 
itm_gekokujo_okegawa_short_saito|斋 藤 御 贷 具 足 
itm_gekokujo_okegawa_short_saito_pl|斋 藤 御 贷 具 足 
itm_gekokujo_okegawa_short_saito_slv|斋 藤 御 贷 具 足 
itm_gekokujo_okegawa_short_saito_slv_pl|斋 藤 御 贷 具 足 
itm_honma_retainer|本 间 御 贷 具 足 
itm_honma_retainer_pl|本 间 御 贷 具 足 
itm_shimazu_ashigaru|岛 津 御 贷 具 足 
itm_shimazu_ashigaru_pl|岛 津 御 贷 具 足 
itm_gekokujo_okegawa_short_akamatsu|赤 松 御 贷 具 足 
itm_gekokujo_okegawa_short_akamatsu_pl|赤 松 御 贷 具 足 
itm_gekokujo_okegawa_short_urakami|佐 竹 御 贷 具 足 
itm_gekokujo_okegawa_short_urakami_pl|佐 竹 御 贷 具 足 
itm_gekokujo_okegawa_short_urakami2|佐 竹 御 贷 具 足 
itm_gekokujo_okegawa_short_urakami2_pl|佐 竹 御 贷 具 足 
itm_gekokujo_okegawa_short_miyoshi|三 好 御 贷 具 足 
itm_gekokujo_okegawa_short_miyoshi_pl|三 好 御 贷 具 足 
itm_gekokujo_okegawa_short_miyoshi2|三 好 御 贷 具 足 
itm_gekokujo_okegawa_short_miyoshi2_pl|三 好 御 贷 具 足 
itm_gekokujo_mogami_short_1|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_1_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_2|最 上 家 御 贷 具 足 
itm_gekokujo_mogami_short_2_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_3|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_3_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_4|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_4_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_5|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_5_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_6|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_6_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_ito|伊 东 最 上 御 贷 具 足 
itm_gekokujo_mogami_short_ito_pl|伊 东 最 上 御 贷 具 足 
itm_gekokujo_mogami_short_ito2|伊 东 最 上 御 贷 具 足 
itm_gekokujo_mogami_short_ito2_pl|伊 东 最 上 御 贷 具 足 
itm_gekokujo_mogami_short_miyo|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_miyo_pl|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_oto|最 上 御 贷 具 足 
itm_gekokujo_mogami_short_oto_pl|最 上 御 贷 具 足 
itm_ashi_kozane|御 贷 具 足 
itm_ashi_kozane_pl|御 贷 具 足 
itm_ashi_kozane2|御 贷 具 足 
itm_ashi_kozane2_pl|御 贷 具 足 
itm_ashi_kozane3|御 贷 具 足 
itm_ashi_kozane3_pl|御 贷 具 足 
itm_ashi_kozane4|御 贷 具 足 
itm_ashi_kozane4_pl|御 贷 具 足 
itm_ashi_kozane5|御 贷 具 足 
itm_ashi_kozane5_pl|御 贷 具 足 
itm_ashi_kozane6|御 贷 具 足 
itm_ashi_kozane6_pl|御 贷 具 足 
itm_ashi_kozane7|御 贷 具 足 
itm_ashi_kozane7_pl|御 贷 具 足 
itm_ashi_kozane8|御 贷 具 足 
itm_ashi_kozane8_pl|御 贷 具 足 
itm_ashi_kozane9|御 贷 具 足 
itm_ashi_kozane9_pl|御 贷 具 足 
itm_ashi_kozane10|御 贷 具 足 
itm_ashi_kozane10_pl|御 贷 具 足 
itm_ashi_kozane11|御 贷 具 足 
itm_ashi_kozane11_pl|御 贷 具 足 
itm_ashi_kozane12|御 贷 具 足 
itm_ashi_kozane12_pl|御 贷 具 足 
itm_ashi_kozane13|御 贷 具 足 
itm_ashi_kozane13_pl|御 贷 具 足 
itm_samurai_toku_arm2|Yoroi Armor
itm_samurai_toku_arm2_pl|Yoroi Armor
itm_samurai_toku_arm2_1|Yoroi Armor
itm_samurai_toku_arm2_1_pl|Yoroi Armor
itm_samurai_toku_arm2_2|Yoroi Armor
itm_samurai_toku_arm2_2_pl|Yoroi Armor
itm_samurai_toku_arm2_3|Yoroi Armor
itm_samurai_toku_arm2_3_pl|Yoroi Armor
itm_samurai_toku_arm2_4|Yoroi Armor
itm_samurai_toku_arm2_4_pl|Yoroi Armor
itm_samurai_toku_arm2_5|Yoroi Armor
itm_samurai_toku_arm2_5_pl|Yoroi Armor
itm_gekokujo_retainer_oda|御 贷 具 足 
itm_gekokujo_retainer_oda_pl|御 贷 具 足 
itm_gekokujo_retainer_arm1|御 贷 具 足 
itm_gekokujo_retainer_arm1_pl|御 贷 具 足 
itm_gekokujo_retainer_imagawa|御 贷 具 足 
itm_gekokujo_retainer_imagawa_pl|御 贷 具 足 
itm_gekokujo_retainer_ikko|御 贷 具 足 
itm_gekokujo_retainer_ikko_pl|御 贷 具 足 
itm_gekokujo_retainer_takeda2|御 贷 具 足 
itm_gekokujo_retainer_takeda2_pl|御 贷 具 足 
itm_gekokujo_retainer_mori|朱 漆 御 贷 具 足 
itm_gekokujo_retainer_mori_pl|朱 漆 御 贷 具 足 
itm_gekokujo_okegawa_short_slv|黑 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv_pl|黑 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv2|黑 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv2_pl|黑 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv3|桧 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv3_pl|桧 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv4|朱 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv4_pl|朱 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv5|黑 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv5_pl|黑 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv6|桧 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv6_pl|桧 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv7|朱 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv7_pl|朱 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv8|桧 漆 涂 具 足 
itm_gekokujo_okegawa_short_slv8_pl|桧 漆 涂 具 足 
itm_gekokujo_yukinoshita_short_1|雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_1_pl|雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_2|雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_2_pl|雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_3|雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_3_pl|雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_date|伊 达 雪 雪 下 具 足 
itm_gekokujo_yukinoshita_short_date_pl|伊 达 雪 雪 下 具 足 
itm_gekokujo_okegawa_long_1|桶 侧 胴 
itm_gekokujo_okegawa_long_1_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_2|桶 侧 胴 
itm_gekokujo_okegawa_long_2_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_3|桶 侧 胴 
itm_gekokujo_okegawa_long_3_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_4|桶 侧 胴 
itm_gekokujo_okegawa_long_4_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_5|桶 侧 胴 
itm_gekokujo_okegawa_long_5_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_6|桶 侧 胴 
itm_gekokujo_okegawa_long_6_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_7|桶 侧 胴 
itm_gekokujo_okegawa_long_7_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_8|桶 侧 胴 
itm_gekokujo_okegawa_long_8_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_9|桶 侧 胴 
itm_gekokujo_okegawa_long_9_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_10|桶 侧 胴 
itm_gekokujo_okegawa_long_10_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_11|桶 侧 胴 
itm_gekokujo_okegawa_long_11_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_12|桶 侧 胴 
itm_gekokujo_okegawa_long_12_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_13|桶 侧 胴 
itm_gekokujo_okegawa_long_13_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_14|桶 侧 胴 
itm_gekokujo_okegawa_long_14_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_15|桶 侧 胴 
itm_gekokujo_okegawa_long_15_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_takeda3|桶 侧 胴 
itm_gekokujo_okegawa_long_takeda3_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_takeda4|桶 侧 胴 
itm_gekokujo_okegawa_long_takeda4_pl|桶 侧 胴 
itm_daimyo_black_oke|桶 侧 胴 
itm_daimyo_black_oke_pl|桶 侧 胴 
itm_blueblood_okegawa_sashimono_takeda_samurai6|桶 侧 胴 
itm_blueblood_okegawa_sashimono_takeda_samurai6_pl|桶 侧 胴 
itm_gekokujo_yukinoshita_nao|桶 侧 胴 
itm_gekokujo_yukinoshita_nao_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_moriii|桶 侧 胴 
itm_gekokujo_okegawa_long_moriii_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_miyo|桶 侧 胴 
itm_gekokujo_okegawa_long_miyo_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_takk|桶 侧 胴 
itm_gekokujo_okegawa_long_takk_pl|桶 侧 胴 
itm_ninja_okegawa|忍 甲 
itm_ninja_okegawa_pl|忍 甲 
itm_gekokujo_okegawa_long_allblack|桶 侧 胴 
itm_gekokujo_okegawa_long_allblack_pl|桶 侧 胴 
itm_ssh_yoroi13|雪 雪 下 具 足 
itm_ssh_yoroi13_pl|雪 雪 下 具 足 
itm_daimyo_okegawa_long_black|桶 侧 胴 
itm_daimyo_okegawa_long_black_pl|桶 侧 胴 
itm_daimyo_okegawa_long_red|桶 侧 胴 
itm_daimyo_okegawa_long_red_pl|桶 侧 胴 
itm_daimyo_okegawa_long_brown|桶 侧 胴 
itm_daimyo_okegawa_long_brown_pl|桶 侧 胴 
itm_daimyo_gusoku_blacknew|桶 侧 胴 
itm_daimyo_gusoku_blacknew_pl|桶 侧 胴 
itm_daimyo_gusoku_blacknew2|桶 侧 胴 
itm_daimyo_gusoku_blacknew2_pl|桶 侧 胴 
itm_daimyo_gusoku_blacknew3|桶 侧 胴 
itm_daimyo_gusoku_blacknew3_pl|桶 侧 胴 
itm_daimyo_gusoku_rednew|桶 侧 胴 
itm_daimyo_gusoku_rednew_pl|桶 侧 胴 
itm_daimyo_gusoku_rednew2|桶 侧 胴 
itm_daimyo_gusoku_rednew2_pl|桶 侧 胴 
itm_daimyo_gusoku_brown|桶 侧 胴 
itm_daimyo_gusoku_brown_pl|桶 侧 胴 
itm_daimyo_gusoku_brown2|桶 侧 胴 
itm_daimyo_gusoku_brown2_pl|桶 侧 胴 
itm_gold_samurai_armor2|桶 侧 胴 
itm_gold_samurai_armor2_pl|桶 侧 胴 
itm_daimyo_red_okeg|桶 侧 胴 
itm_daimyo_red_okeg_pl|桶 侧 胴 
itm_blueblood_okegawa_sashimono_takeda_samurai4|桶 侧 胴 
itm_blueblood_okegawa_sashimono_takeda_samurai4_pl|桶 侧 胴 
itm_daimyo_okegawa_long_white|桶 侧 胴 
itm_daimyo_okegawa_long_white_pl|桶 侧 胴 
itm_daimyo_okegawa_long_white2|桶 侧 胴 
itm_daimyo_okegawa_long_white2_pl|桶 侧 胴 
itm_daimyo_okegawa_long_white3|桶 侧 胴 
itm_daimyo_okegawa_long_white3_pl|桶 侧 胴 
itm_daimyo_okegawa_long_blacks2|桶 侧 胴 
itm_daimyo_okegawa_long_blacks2_pl|桶 侧 胴 
itm_daimyo_okegawa_long_black2s2|桶 侧 胴 
itm_daimyo_okegawa_long_black2s2_pl|桶 侧 胴 
itm_daimyo_okegawa_long_white4|桶 侧 胴 
itm_daimyo_okegawa_long_white4_pl|桶 侧 胴 
itm_gekokujo_okegawa_long_18|桶 侧 胴 
